Reads_per_phylum	Read_per_transcript	human_read	ID	seed	serie
1000	5	TRUE	A0	0	0
1000	5	TRUE	A1	1	1
1000	5	TRUE	A2	2	2
1000	5	TRUE	A3	3	3
1000	5	TRUE	A4	4	4
1000	5	TRUE	A5	5	5
1000	5	TRUE	A6	6	6
1000	5	TRUE	A7	7	7
1000	5	TRUE	A8	8	8
1000	5	TRUE	A9	9	9
1000	5	FALSE	B0	10	0
1000	5	FALSE	B1	11	1
1000	5	FALSE	B2	12	2
1000	5	FALSE	B3	13	3
1000	5	FALSE	B4	14	4
1000	5	FALSE	B5	15	5
1000	5	FALSE	B6	16	6
1000	5	FALSE	B7	17	7
1000	5	FALSE	B8	18	8
1000	5	FALSE	B9	19	9
2000	10	TRUE	C0	20	0
2000	10	TRUE	C1	21	1
2000	10	TRUE	C2	22	2
2000	10	TRUE	C3	23	3
2000	10	TRUE	C4	24	4
2000	10	TRUE	C5	25	5
2000	10	TRUE	C6	26	6
2000	10	TRUE	C7	27	7
2000	10	TRUE	C8	28	8
2000	10	TRUE	C9	29	9
2000	10	FALSE	D0	30	0
2000	10	FALSE	D1	31	1
2000	10	FALSE	D2	32	2
2000	10	FALSE	D3	33	3
2000	10	FALSE	D4	34	4
2000	10	FALSE	D5	35	5
2000	10	FALSE	D6	36	6
2000	10	FALSE	D7	37	7
2000	10	FALSE	D8	38	8
2000	10	FALSE	D9	39	9
20000	100	TRUE	E0	40	0
20000	100	TRUE	E1	41	1
20000	100	TRUE	E2	42	2
20000	100	TRUE	E3	43	3
20000	100	TRUE	E4	44	4
20000	100	TRUE	E5	45	5
20000	100	TRUE	E6	46	6
20000	100	TRUE	E7	47	7
20000	100	TRUE	E8	48	8
20000	100	TRUE	E9	49	9
20000	100	FALSE	F0	50	0
20000	100	FALSE	F1	51	1
20000	100	FALSE	F2	52	2
20000	100	FALSE	F3	53	3
20000	100	FALSE	F4	54	4
20000	100	FALSE	F5	55	5
20000	100	FALSE	F6	56	6
20000	100	FALSE	F7	57	7
20000	100	FALSE	F8	58	8
20000	100	FALSE	F9	59	9
